위도,경도
37.3055023,126.787033
37.3145963,126.7481896
37.3189887,126.7379254
37.3232848,126.7787575
37.309263,126.7855761
37.3204569,126.778828
37.3151723,126.7592253
37.3191431,126.7849753
37.3255073,126.7765812
37.3250936,126.7849102
37.3064639,126.7877265
37.3249117,126.7613672
37.3129418,126.7936161
37.3237706,126.7610886
37.3010641,126.7869523
37.3149775,126.7490331
37.6508479,126.7965596
37.6676904,126.9207493
37.6399759,126.8754036
37.6384452,126.8750054
37.6792725,126.7782196
37.6789447,126.7794871
37.6133773,126.8477097
37.6498368,126.8978149
37.6490765,126.9020672
37.6390871,126.8751737
37.6411307,126.8757029
37.6499003,126.7937366
37.6502588,126.7949581
37.6406725,126.8755835
37.6133396,126.8487182
37.416677,126.9758176
37.4137763,126.977071
37.63896,127.1244943
37.6389736,127.1235763
37.5976553,127.1773742
37.5791098,127.221985
37.6515463,127.1294424
37.6549567,127.1294981
37.6697959,127.1349001
37.6503842,127.1281055
37.6503842,127.1281055
37.6719856,127.1152983
37.6138952,127.1534113
37.6133406,127.1537787
37.6524148,127.1293761
37.5989831,127.1773346
37.597752,127.1743065
37.6635546,127.1227335
37.5956412,127.1722397
37.6132988,127.1520129
37.1828747,127.0343839
37.1888107,127.0414358
37.1852975,127.0464682
37.1845463,127.0470301
37.1758788,127.0594531
37.1434163,127.0600427
37.1875878,127.0459966
37.3586498,126.7103847
37.3622878,126.7861148
37.3713164,126.8590788
37.3789626,126.7606095
37.4248203,126.8379617
37.4149508,126.7674371
37.4149835,126.7671736
37.4298588,126.7985138
37.416592,126.8407471
37.348206,126.7070835
37.3601375,126.707851
37.4322485,126.8007502
37.4306499,126.797726
,
37.3787754,126.7595145
37.4205858,126.7722568
37.4029375,126.7737835
37.4445007,126.8117572
,
37.3580191,126.7093537
37.4509435,126.8341476
,
37.4272251,126.8098378
37.3777051,126.8129728
37.3984817,126.8357669
37.3344354,126.7326344
37.4514503,126.8001935
37.363195,126.7865495
37.4164555,126.7668188
37.4183466,126.7836553
37.4432499,126.8287321
37.4533832,126.797198
37.4517602,126.7999893
37.4018279,126.8225445
37.4309423,126.8006907
,
37.4243922,126.8370932
37.3338452,126.7409008
37.3298126,126.7365981
37.4022232,126.8235836
37.4306837,126.7998876
37.441767,126.7741996
37.452503,126.796832
37.4139111,126.8203662
,
,
37.3713801,126.8579842
,
37.4183053,126.7710884
37.3580748,126.7070792
37.3590524,126.7096662
37.3573065,126.7085574
37.3586498,126.7103847
37.3576973,126.7077368
37.3580873,126.7070843
37.3589508,126.7078932
37.328285,126.7325637
37.4540745,126.7982493
37.3585603,126.7085462
37.4343863,126.7916603
37.349398,126.7077635
37.452207,126.7996018
37.3743727,126.8595676
37.4359953,126.7947716
,
,
37.4304214,126.7981707
37.4240452,126.8391794
37.3502865,126.7092049
37.4536123,126.7975575
37.37902,126.866812
37.4532784,126.7975963
,
37.4527325,126.8000386
37.4521718,126.7998771
37.4344593,126.7937618
37.45246,126.8001493
37.445378,126.8318559
37.4338815,126.8130899
37.4507973,126.8328289
37.4297731,126.7979474
37.3792225,126.8664705
37.4144319,126.842778
37.4438819,126.8276515
37.4515391,126.8331528
37.4517765,126.8317376
37.4543496,126.7944343
,
,
37.453204,126.7987949
37.4507951,126.8006346
37.4299859,126.7990314
37.4226943,126.7886599
37.4344821,126.7873212
37.4439001,126.8276175
,
37.369445,126.8005442
37.3387809,126.7221546
37.4303997,126.7995281
37.3788109,126.8661747
37.4344591,126.7933299
37.3716494,126.8589106
37.37902,126.866812
37.3315745,126.7380144
37.3308895,126.7378119
37.3434063,126.7182197
,
37.4530726,126.7992144
37.3264449,126.7333164
37.4047091,126.7673594
37.3362204,126.7034069
37.4340123,126.7888272
37.415308,126.8198047
37.4024465,126.8233553
37.4527325,126.8000386
37.441444,126.775097
37.3556164,126.7625915
37.3563894,126.9571845
37.3490706,126.9525415
37.3496081,126.9535944
37.3580883,126.9522959
37.3266622,126.9409789
37.3534612,126.9531943
37.3582213,126.9584706
37.35698,126.9603992
37.3742143,126.9441357
37.3537752,126.9494085
37.3771209,126.9426761
37.3539673,126.9532186
37.3516823,126.9542876
37.3754549,126.9426444
37.3572666,126.9538308
37.3600104,126.9502597
37.3565181,126.9538237
37.355343,126.9509226
37.3656739,126.956465
37.3589715,126.9492123
37.3750943,126.94346
37.357148,126.9555074
37.3706794,126.9459017
37.3569708,126.9546652
37.3646043,126.9479458
37.3767674,126.9426237
37.3520702,126.9496058
37.3520702,126.9496058
37.3502563,126.949397
37.369659,126.9457078
37.3757538,126.9440889
37.363589,126.9589016
37.3492115,126.9726146
37.3553498,126.9660688
37.3285349,126.9533594
37.3555685,126.965384
37.3555982,126.9669258
37.3530766,126.9656406
37.3519588,126.9629413
37.3975521,126.9874449
37.3332441,126.9581717
37.3563163,126.9627668
37.3919725,126.9862934
37.3453799,126.9749209
37.4010147,126.9908731
37.5529866,127.1843926
37.5481405,127.1920399
37.548237,127.189944
37.5758982,127.1935014
37.5769986,127.1915126
37.5504138,127.191141
37.550595,127.1841054
37.5525146,127.1843721
37.5526624,127.1823168
37.5535505,127.1947679
37.5496767,127.1918605
37.5493818,127.1908357
37.5458825,127.1936807
37.5518171,127.1844754
37.5503432,127.1834061
37.5594355,127.2034929
37.5072828,127.1650625
37.5567099,127.2064452
37.5576339,127.2055561
37.5588928,127.2041218
37.5749771,127.1937903
37.2914022,127.1480635
37.3002422,127.0713376
37.2800347,127.1193692
37.2804547,127.1180994
37.2313876,127.0720307
37.3283319,127.1367578
37.2568353,127.1679121
37.3382216,127.1016899
37.301708,127.0642217
37.2564843,127.1651029
37.2295756,127.0727511
37.2569462,127.1660308
37.328701,127.1354666
37.2302479,127.0714194
37.2747646,127.080662
37.2709194,127.0661586
37.2689041,127.090468
37.7074764,126.6876033
37.7160997,126.6912859
37.7233457,126.692346
37.7085646,126.6845797
37.7220994,126.6934924
37.7204462,126.6941748
37.7288389,126.6908031
37.7030164,126.6837017
37.7231326,126.6924898
37.7229424,126.6936316
37.7172512,126.6915004
37.7106938,126.6858354
37.7105627,126.6879696
37.7286133,126.6903186
37.7172143,126.6923601
37.7092665,126.6875655
37.7060888,126.685707
37.7205425,126.6939023
37.7229776,126.6930577
37.7212825,126.6933779
37.7102483,126.6878247
37.7168158,126.6907716
37.7072615,126.6873317
37.7163126,126.6923064
37.7235916,126.693356
37.7213612,126.6941392
37.7212564,126.6939019
37.7169949,126.6933872
37.7206554,126.6935213
37.7209922,126.6933612
37.7216953,126.6948
37.7165674,126.6925639
37.7328583,126.7665177
37.7169482,126.6910516
37.7059789,126.6853553
37.7164995,126.6921834
37.7166122,126.6917213
37.7170806,126.6929037
37.2324488,127.4945043
37.2504121,127.4737231
37.2709873,127.40322
37.0007589,127.3235711
37.6156278,126.62221
37.6152533,126.622531
37.641114,126.6835833
37.6398372,126.6819155
37.6381631,126.6801075
37.6407496,126.6830313
37.6527337,126.6380725
37.6503727,126.6369065
37.6151444,126.6221031
37.6150008,126.6214964
37.6444276,126.6179254
37.6430782,126.6184044
37.593628,126.7967597
37.6415136,126.6190045
37.6378728,126.6808633
37.6454407,126.61757
37.6397109,126.6195268
37.6170423,126.6210694
37.6149937,126.6261716
37.6154153,126.6213353
37.6402941,126.682469
37.2133934,127.0920656
37.2133383,127.0848297
37.2100054,127.0981227
37.2145193,127.1006412
37.2111572,127.0922754
37.2133383,127.0848297
37.2133383,127.0848297
37.2133383,127.0848297
37.1167667,126.9217245
37.2109803,127.0933483
37.2120623,127.0970774
37.2133383,127.0848297
37.2079032,127.0977807
37.2140558,127.0948992
37.2150901,127.0949689
37.2110474,127.094173
37.2133383,127.0848297
37.2099679,127.0967001
37.2100216,127.0921715
37.2133383,127.0848297
37.2140435,127.0902534
37.2133383,127.0848297
37.2097991,127.0914033
37.2108914,127.0897985
37.2156401,127.0929088
37.2107697,127.0995015
37.2140795,127.0981856
37.2144863,127.0998934
37.2148489,127.1032889
37.2111396,127.0995061
37.2111431,127.1003152
37.2107661,127.100315
37.2111524,127.0981423
37.2109616,127.096999
37.2102455,127.0914031
37.2139736,127.1020387
37.2135163,127.0947136
,
,
37.2139138,127.0997229
37.2107871,127.0981374
37.2111569,127.0913991
37.2144875,127.1027643
37.2116732,127.1028698
,
37.2169624,126.8333215
37.2126113,127.0971266
37.2087493,127.0977079
37.1294577,126.7976234
37.219066,126.9555164
37.2107931,127.0922717
37.2133383,127.0848297
37.2159291,127.1018184
37.2149276,127.1001448
37.8384299,127.0983538
37.8365403,127.097781
37.8361154,127.0965501
37.8522778,127.0648231
37.8331621,127.1016007
37.816946,126.9882235
37.8307955,127.0507542
37.8387897,127.0955232
37.8376953,127.0973872
37.8830623,127.2032838
